k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,91.87175243134183,97.58752117392036,63.06058120727539,5.599090099334717,1.2634085082443698,0.2
2,199,282,83,141,122.64520656715854,128.89056073999828,92.6655044555664,4.678687572479248,1.2358012825276217,0.2
3,282,399,117,200,171.2598820879406,175.77003309377002,135.36663818359375,4.497090816497803,1.2041032949100197,0.2
4,399,565,166,283,233.866292690293,237.8919648062743,195.23448181152344,3.7981278896331787,1.1666612767113478,0.2
5,565,799,234,400,318.12033925275034,320.6954810707089,278.3265380859375,3.446091413497925,1.1177344834141354,0.2
6,799,1131,332,566,400.2920837402344,402.6168212890625,394.8956298828125,3.0727298259735107,1.0,0.2
