,N0,alpha,mc_reps,penalty_factor
window_mean,0.7455069549691744,,0.00014576574369781049,0.4065234556461652
window_std,1.0397820835070384,,5.6128724134618366e-05,0.13003799620941964
faithfulness_prtb_p90,1.143885618958144,,0.00023815261651713473,0.0077783506078331005
faithfulness_prtb_p50,1.1114499332695709,,0.0002073069565882817,0.0015847117308676508
ablation_mif_p90,1.0943857928589151,,0.0005817142793642545,0.023975067316846795
ablation_lif_p90,0.9553890407956058,,0.002061950413040077,0.1051471989687361
correlation_true_imp_mean,0.955702862539846,,0.0001153655679122751,0.2174143133226281
detection_time,1.1626383053883238,,0.00036014686486145507,0.016706145842554178
