k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,282,399,117,199,151.02260882216532,156.87410400344217,137.10244750976562,4.672876834869385,1.051025823727505,0.05
2,399,565,166,283,214.2061005701287,217.27397151000588,198.88125610351562,3.8414485454559326,1.041665319177837,0.05
3,565,799,234,400,299.7235194059608,303.66416290668604,283.9341125488281,4.184410095214844,1.029433620853534,0.05
4,799,1131,332,566,411.4508972167969,416.6460876464844,402.92156982421875,4.914616107940674,1.0,0.05
