k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,91.76850371320539,98.96734361649632,73.26641845703125,4.28341817855835,1.131704254122185,0.1
2,199,282,83,141,117.09632239635697,120.09587006731151,100.03034210205078,2.811176061630249,1.1179006412638108,0.1
3,282,399,117,200,164.74449608169894,168.02036545556626,143.01158142089844,3.4654343128204346,1.1020516474550097,0.1
4,399,565,166,283,225.47984297893007,228.37254869378012,201.59268188476562,3.5954766273498535,1.083330638355674,0.1
5,565,799,234,400,307.15441798269063,310.5958980885575,284.1575622558594,3.629556179046631,1.0588672417070677,0.1
6,799,1131,332,566,410.1082763671875,413.2702941894531,401.6070556640625,4.255128383636475,1.0,0.1
