k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,91.7309249937116,98.18506253749771,70.80107879638672,4.112146854400635,1.16659065899077,0.1
2,199,282,83,141,120.14438742791103,124.42479387253469,98.72614288330078,3.018834114074707,1.1559070181855704,0.1
3,282,399,117,200,165.96380646123583,169.3010941977575,139.29380798339844,3.1243960857391357,1.1442947533951928,0.1
4,399,565,166,283,229.64706997268283,232.37754384495443,197.4956512451172,2.688666582107544,1.131721040072807,0.1
5,565,799,234,400,319.9801795747816,323.23844540546077,279.8636474609375,3.2191529273986816,1.1177785602531134,0.1
6,799,1131,332,566,443.8985033690333,447.184058088761,396.5969543457031,3.460049629211426,1.1020119459136914,0.1
7,1131,1599,468,800,621.6093262813707,626.4663888231485,563.1720581054688,5.312736988067627,1.0832554611157699,0.1
8,1599,2262,663,1131,857.3680608152692,864.7763240176598,795.413330078125,7.540629863739014,1.0588957505973149,0.1
9,2262,3199,937,1600,1137.6865234375,1144.5980224609375,1121.2158203125,8.37572193145752,1.0,0.1
