,windows_run_0,window_mean
437,282.0,282.0
438,282.0,282.0
439,282.0,282.0
440,282.0,282.0
441,282.0,282.0
442,282.0,282.0
443,282.0,282.0
444,282.0,282.0
445,282.0,282.0
446,282.0,282.0
447,282.0,282.0
448,282.0,282.0
449,282.0,282.0
450,282.0,282.0
451,282.0,282.0
452,282.0,282.0
453,282.0,282.0
454,282.0,282.0
455,282.0,282.0
456,282.0,282.0
457,282.0,282.0
458,282.0,282.0
459,282.0,282.0
460,282.0,282.0
461,282.0,282.0
462,282.0,282.0
463,282.0,282.0
464,282.0,282.0
465,282.0,282.0
466,282.0,282.0
467,282.0,282.0
468,282.0,282.0
469,282.0,282.0
470,282.0,282.0
471,282.0,282.0
472,282.0,282.0
473,282.0,282.0
474,282.0,282.0
475,282.0,282.0
476,282.0,282.0
477,282.0,282.0
478,282.0,282.0
479,282.0,282.0
480,282.0,282.0
481,282.0,282.0
482,282.0,282.0
483,282.0,282.0
484,282.0,282.0
485,282.0,282.0
486,282.0,282.0
487,282.0,282.0
488,282.0,282.0
489,282.0,282.0
490,282.0,282.0
491,282.0,282.0
492,282.0,282.0
493,282.0,282.0
494,282.0,282.0
495,282.0,282.0
496,282.0,282.0
497,282.0,282.0
498,282.0,282.0
499,282.0,282.0
500,282.0,282.0
501,282.0,282.0
502,282.0,282.0
503,282.0,282.0
504,282.0,282.0
505,282.0,282.0
506,282.0,282.0
507,282.0,282.0
508,282.0,282.0
509,282.0,282.0
510,282.0,282.0
511,282.0,282.0
512,282.0,282.0
513,282.0,282.0
514,282.0,282.0
515,282.0,282.0
516,282.0,282.0
517,282.0,282.0
518,282.0,282.0
519,282.0,282.0
520,282.0,282.0
521,282.0,282.0
522,282.0,282.0
523,282.0,282.0
524,282.0,282.0
525,282.0,282.0
526,282.0,282.0
527,282.0,282.0
528,282.0,282.0
529,282.0,282.0
530,282.0,282.0
531,282.0,282.0
532,282.0,282.0
533,282.0,282.0
534,282.0,282.0
535,282.0,282.0
536,282.0,282.0
537,282.0,282.0
538,282.0,282.0
539,282.0,282.0
540,282.0,282.0
541,282.0,282.0
542,282.0,282.0
543,282.0,282.0
544,282.0,282.0
545,282.0,282.0
546,282.0,282.0
547,282.0,282.0
548,282.0,282.0
549,282.0,282.0
550,282.0,282.0
551,282.0,282.0
552,282.0,282.0
553,282.0,282.0
554,282.0,282.0
555,282.0,282.0
556,282.0,282.0
557,282.0,282.0
558,282.0,282.0
559,282.0,282.0
560,282.0,282.0
561,282.0,282.0
562,282.0,282.0
563,282.0,282.0
564,399.0,399.0
565,399.0,399.0
566,399.0,399.0
567,399.0,399.0
568,399.0,399.0
569,399.0,399.0
570,399.0,399.0
571,399.0,399.0
572,399.0,399.0
573,399.0,399.0
574,399.0,399.0
575,399.0,399.0
576,399.0,399.0
577,399.0,399.0
578,399.0,399.0
579,399.0,399.0
580,399.0,399.0
581,399.0,399.0
582,399.0,399.0
583,399.0,399.0
584,399.0,399.0
585,399.0,399.0
586,399.0,399.0
587,399.0,399.0
588,399.0,399.0
589,399.0,399.0
590,399.0,399.0
591,399.0,399.0
592,399.0,399.0
