k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,212,299,87,149,136.40232279106942,145.9349917511428,91.74072265625,7.702576160430908,1.3532230067546425,0.3
2,299,424,125,212,196.37362245406524,205.04057308674896,141.08811950683594,6.785524845123291,1.3062994215079575,0.3
3,424,599,175,300,274.635419013628,277.85808320818717,209.19114685058594,6.2160797119140625,1.2497663833473094,0.3
4,599,848,249,424,362.7514263177376,370.13445896774016,300.0283508300781,4.957252502441406,1.1768776791765452,0.3
5,848,1199,351,600,436.0412902832031,438.63739013671875,427.8286437988281,5.288866996765137,1.0,0.3
