k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,176,249,73,124,112.16540862671262,117.08099380315385,76.47186279296875,9.023768424987793,1.2635352563594027,0.2
2,249,353,104,177,153.78520297799426,157.08955011615552,115.26715850830078,6.08097505569458,1.2357373014339348,0.2
3,353,499,146,250,214.74278012348802,217.71104925191995,170.05361938476562,5.070406436920166,1.2039888939834968,0.2
4,499,707,208,354,297.07126342246727,306.801319148036,247.1441192626953,4.7949538230896,1.1666311715012572,0.2
5,707,999,292,500,402.99542224225576,408.507450507242,353.02587890625,5.234689235687256,1.1175966177663255,0.2
6,999,1414,415,707,521.19580078125,538.6873168945312,505.48870849609375,9.179105758666992,1.0,0.2
