k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,83.9756900340216,86.7728227432285,68.5443115234375,3.1795575618743896,1.131704254122185,0.1
2,199,282,83,141,111.61766083992397,113.47354204749206,95.60630798339844,3.0445995330810547,1.1179006412638108,0.1
3,282,399,117,200,156.44250035120584,158.60350430571629,136.5045623779297,3.5677590370178223,1.1020516474550097,0.1
4,399,565,166,283,219.71063125665165,222.88524494126668,196.1837158203125,4.454018592834473,1.083330638355674,0.1
5,565,799,234,400,303.7060549812402,308.3765035605141,277.1647033691406,6.006647109985352,1.0588672417070677,0.1
6,799,1131,332,566,409.9830322265625,414.1364440917969,396.3760986328125,8.286225318908691,1.0,0.1
