k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,106,149,43,74,71.70558191463489,73.21755648857759,45.96693801879883,4.318253993988037,1.3605067216502207,0.25
2,149,212,63,106,97.58796945229813,101.69677171085442,66.72269439697266,4.419529914855957,1.3296716481825557,0.25
3,212,299,87,150,137.1222757131031,138.34604081859894,97.88361358642578,4.95595121383667,1.2943525056288687,0.25
4,299,424,125,212,186.72824904229984,190.66864000794143,142.43821716308594,4.595736026763916,1.255249517923298,0.25
5,424,599,175,300,254.61278769063352,256.89331162342273,205.642578125,3.0026166439056396,1.2081386527894244,0.25
6,599,848,249,424,344.5390090930927,345.766383269385,294.22552490234375,3.2675883769989014,1.1473980659804544,0.25
7,848,1199,351,600,423.1363830566406,425.2171936035156,418.1403503417969,3.387187957763672,1.0,0.25
