k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,77.86982018465753,82.99901398736652,64.0699234008789,5.364534854888916,1.0658521270610926,0.05
2,199,282,83,141,105.73482252295213,107.89703730078719,93.44197082519531,4.253332138061523,1.0589503206319055,0.05
3,282,399,117,200,149.91405691155867,152.33262231720897,136.96319580078125,3.6785104274749756,1.051025823727505,0.05
4,399,565,166,283,210.12155054584156,212.95446822723352,196.52052307128906,3.489259958267212,1.041665319177837,0.05
5,565,799,234,400,294.4944816723003,298.3593816287177,278.80224609375,3.892329216003418,1.029433620853534,0.05
6,799,1131,332,566,404.3122253417969,406.2345275878906,396.91436767578125,3.84006667137146,1.0,0.05
