k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,247,349,102,174,124.43114471435547,126.20329284667969,117.5962142944336,4.471869468688965,1.0,0.0
2,349,494,145,247,178.74769592285156,182.3538818359375,172.8973388671875,3.6682448387145996,1.0,0.0
3,494,699,205,350,255.437255859375,257.52880859375,248.09835815429688,4.1510396003723145,1.0,0.0
4,699,989,290,495,359.3580017089844,363.1566467285156,353.0545959472656,4.090738296508789,1.0,0.0
5,989,1399,410,700,515.338623046875,525.5119018554688,501.34149169921875,8.040229797363281,1.0,0.0
