k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,76.71723421064794,81.0692875403423,62.40398406982422,5.773611068725586,1.0658521270610926,0.05
2,199,282,83,141,104.33071476520142,107.16076014342217,91.31150817871094,4.812944412231445,1.0589503206319055,0.05
3,282,399,117,200,148.1844253336624,150.50902772202113,134.3319549560547,4.571494102478027,1.051025823727505,0.05
4,399,565,166,283,208.5792545418776,211.5375007608934,194.46630859375,4.109161376953125,1.041665319177837,0.05
5,565,799,234,400,292.61562708463043,295.3531074746547,277.8070373535156,3.3947126865386963,1.029433620853534,0.05
6,799,1131,332,566,400.2789306640625,402.6559143066406,394.86309814453125,3.209258794784546,1.0,0.05
