k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,212,299,87,149,128.62815308831654,132.37228416846096,95.7381820678711,6.571428298950195,1.235482004503095,0.2
2,299,424,125,212,184.44069298113206,188.9134816548616,145.5678253173828,4.38898229598999,1.2041996143386384,0.2
3,424,599,175,300,255.03571258686372,259.9207262673257,212.11782836914062,3.6584525108337402,1.1665109222315395,0.2
4,599,848,249,424,346.5877789257975,350.1968937695965,302.1239929199219,4.272339820861816,1.1179184527843633,0.2
5,848,1199,351,600,435.5779724121094,438.3657531738281,427.7301025390625,4.616943359375,1.0,0.2
