k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,88.84788441462426,91.76688048017488,70.76918029785156,3.8423595428466797,1.131704254122185,0.1
2,199,282,83,141,114.84064876508863,117.66923453453762,97.42652130126953,2.8622374534606934,1.1179006412638108,0.1
3,282,399,117,200,159.46179159951058,164.38749296165088,139.647705078125,3.1050240993499756,1.1020516474550097,0.1
4,399,565,166,283,219.18377709854508,223.0053707308927,197.7609405517578,2.677889585494995,1.083330638355674,0.1
5,565,799,234,400,303.1525796969397,306.1450235726197,280.210205078125,3.3078932762145996,1.0588672417070677,0.1
6,799,1131,332,566,403.7003479003906,406.84124755859375,397.0950012207031,3.6353232860565186,1.0,0.1
