k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,88.10188795804959,94.36121267118705,69.91765594482422,4.447030067443848,1.131704254122185,0.1
2,199,282,83,141,115.92078341484002,118.82874770348641,97.99353790283203,2.9046683311462402,1.1179006412638108,0.1
3,282,399,117,200,161.07654546680288,164.34220754468012,140.27418518066406,2.777925491333008,1.1020516474550097,0.1
4,399,565,166,283,220.24553567752798,224.86387389969045,198.4196319580078,2.6404943466186523,1.083330638355674,0.1
5,565,799,234,400,301.41747604265925,305.01845836730865,279.71954345703125,2.638606548309326,1.0588672417070677,0.1
6,799,1131,332,566,404.5242004394531,406.8908996582031,397.49639892578125,3.5849738121032715,1.0,0.1
