k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,107.63084913218364,122.24944404684331,78.75868225097656,9.08464527130127,1.131704254122185,0.1
2,199,282,83,141,130.87864913855563,142.3024436547163,103.00750732421875,8.18774700164795,1.1179006412638108,0.1
3,282,399,117,200,178.69440560955724,192.94693539876195,147.22503662109375,8.835622787475586,1.1020516474550097,0.1
4,399,565,166,283,243.26412974117824,249.35842661259457,206.73397827148438,10.271405220031738,1.083330638355674,0.1
5,565,799,234,400,332.3805534372448,344.48259040298694,294.2935485839844,12.674371719360352,1.0588672417070677,0.1
6,799,1131,332,566,438.7945556640625,448.8822326660156,416.9505615234375,14.000831604003906,1.0,0.1
