k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,106,149,43,74,56.182369232177734,59.69464111328125,47.912479400634766,4.740689277648926,1.0,0.0
2,149,212,63,106,75.74517822265625,77.97132110595703,68.95608520507812,4.11337947845459,1.0,0.0
3,212,299,87,150,108.0277328491211,111.08595275878906,100.80213165283203,4.05953311920166,1.0,0.0
4,299,424,125,212,150.85813903808594,154.97821044921875,144.76376342773438,3.7412636280059814,1.0,0.0
5,424,599,175,300,213.4746856689453,216.97996520996094,207.2304229736328,3.818970203399658,1.0,0.0
6,599,848,249,424,303.4543762207031,307.004150390625,296.4411926269531,3.9868555068969727,1.0,0.0
7,848,1199,351,600,427.5609436035156,430.19921875,420.8506774902344,3.783313751220703,1.0,0.0
