k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,72.88056945800781,76.56492614746094,62.7800178527832,5.745716094970703,1.0,0.0
2,199,282,83,141,98.20602416992188,102.3728256225586,91.94770812988281,4.384019374847412,1.0,0.0
3,282,399,117,200,142.15985107421875,143.34373474121094,135.33656311035156,4.165142059326172,1.0,0.0
4,399,565,166,283,200.69761657714844,204.69866943359375,195.24192810058594,3.58978271484375,1.0,0.0
5,565,799,234,400,285.0618896484375,286.5871887207031,277.5965576171875,3.90456223487854,1.0,0.0
6,799,1131,332,566,402.12921142578125,406.64593505859375,395.40069580078125,4.069736957550049,1.0,0.0
