k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,247,349,102,174,167.52259002252637,175.65691908102377,117.94925689697266,4.118436813354492,1.3533518636565063,0.3
2,349,494,145,247,235.44927723116433,236.79033570574853,172.79922485351562,3.9578166007995605,1.3061797133185438,0.3
3,494,699,205,350,317.02063116799644,320.16352632441806,247.4746856689453,3.571124315261841,1.249948581310499,0.3
4,699,989,290,495,420.5933204092706,425.31575882339206,351.091552734375,4.1680521965026855,1.1767312169510558,0.3
5,989,1399,410,700,507.3307189941406,515.0718383789062,497.14874267578125,6.128221035003662,1.0,0.3
