windows_run_0,windows_run_1,window_mean
150,225,187.5
150,225,187.5
75,400,237.5
225,75,150.0
50,150,100.0
225,150,187.5
404,75,239.5
405,405,405.0
406,225,315.5
75,407,241.0
225,50,137.5
375,75,225.0
300,50,175.0
411,411,411.0
150,150,150.0
413,225,319.0
75,414,244.5
415,415,415.0
275,150,212.5
325,150,237.5
100,150,125.0
419,100,259.5
300,100,200.0
421,421,421.0
300,100,200.0
100,423,261.5
424,100,262.0
300,425,362.5
100,250,175.0
300,350,325.0
428,100,264.0
429,75,252.0
430,430,430.0
431,100,265.5
75,250,162.5
433,75,254.0
434,400,417.0
100,435,267.5
436,75,255.5
100,75,87.5
75,75,75.0
175,325,250.0
175,440,307.5
441,350,395.5
100,350,225.0
300,300,300.0
100,100,100.0
445,300,372.5
446,446,446.0
300,100,200.0
448,150,299.0
449,275,362.0
450,50,250.0
100,50,75.0
450,450,450.0
200,300,250.0
50,100,75.0
450,350,400.0
100,100,100.0
100,457,278.5
100,458,279.0
459,275,367.0
460,460,460.0
50,461,255.5
50,50,50.0
375,375,375.0
50,50,50.0
50,50,50.0
375,466,420.5
50,50,50.0
468,300,384.0
469,469,469.0
50,470,260.0
300,300,300.0
225,300,262.5
473,473,473.0
474,300,387.0
350,475,412.5
476,325,400.5
475,225,350.0
475,50,262.5
50,50,50.0
475,50,262.5
50,50,50.0
100,50,75.0
483,50,266.5
50,50,50.0
225,485,355.0
300,50,175.0
225,50,137.5
300,300,300.0
150,300,225.0
350,490,420.0
100,491,295.5
300,400,350.0
350,350,350.0
494,300,397.0
495,50,272.5
496,496,496.0
325,50,187.5
498,498,498.0
499,499,499.0
500,500,500.0
325,325,325.0
50,175,112.5
175,503,339.0
50,504,277.0
505,505,505.0
50,506,278.0
75,507,291.0
450,508,479.0
75,509,292.0
510,510,510.0
300,300,300.0
375,500,437.5
513,50,281.5
375,375,375.0
175,325,250.0
450,375,412.5
517,500,508.5
518,518,518.0
519,375,447.0
50,520,285.0
521,521,521.0
50,350,200.0
523,523,523.0
350,524,437.0
500,525,512.5
100,526,313.0
525,527,526.0
525,528,526.5
525,50,287.5
450,50,250.0
50,275,162.5
100,400,250.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
75,50,62.5
75,75,75.0
75,75,75.0
75,75,75.0
375,547,461.0
75,548,311.5
75,75,75.0
75,100,87.5
75,550,312.5
75,75,75.0
525,553,539.0
100,75,87.5
125,75,100.0
100,300,200.0
100,75,87.5
558,475,516.5
559,75,317.0
560,75,317.5
561,75,318.0
475,300,387.5
300,100,200.0
150,500,325.0
565,565,565.0
566,566,566.0
300,300,300.0
375,568,471.5
300,300,300.0
570,570,570.0
100,571,335.5
572,572,572.0
150,150,150.0
574,325,449.5
50,575,312.5
400,100,250.0
50,50,50.0
575,400,487.5
125,500,312.5
150,300,225.0
150,500,325.0
50,300,175.0
150,500,325.0
500,150,325.0
325,400,362.5
150,50,100.0
450,350,400.0
275,175,225.0
50,175,112.5
350,50,200.0
125,425,275.0
100,100,100.0
100,50,75.0
75,275,175.0
275,150,212.5
100,275,187.5
125,125,125.0
50,75,62.5
100,75,87.5
75,75,75.0
125,75,100.0
75,75,75.0
75,75,75.0
100,75,87.5
150,50,100.0
100,125,112.5
150,100,125.0
125,150,137.5
100,100,100.0
100,50,75.0
100,100,100.0
100,125,112.5
100,100,100.0
225,225,225.0
100,150,125.0
100,75,87.5
100,100,100.0
100,100,100.0
75,50,62.5
75,50,62.5
75,175,125.0
100,100,100.0
50,100,75.0
50,50,50.0
50,100,75.0
50,150,100.0
100,75,87.5
75,75,75.0
75,75,75.0
100,100,100.0
75,75,75.0
75,100,87.5
75,100,87.5
100,75,87.5
100,75,87.5
100,100,100.0
100,75,87.5
100,100,100.0
75,100,87.5
100,100,100.0
100,100,100.0
125,100,112.5
100,175,137.5
100,100,100.0
100,75,87.5
75,75,75.0
75,75,75.0
75,75,75.0
75,175,125.0
150,100,125.0
100,100,100.0
125,100,112.5
100,75,87.5
100,75,87.5
100,100,100.0
75,100,87.5
100,100,100.0
100,100,100.0
150,100,125.0
100,75,87.5
150,125,137.5
150,125,137.5
125,150,137.5
125,150,137.5
150,100,125.0
150,125,137.5
125,125,125.0
150,200,175.0
150,50,100.0
150,150,150.0
175,150,162.5
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
175,100,137.5
100,50,75.0
125,125,125.0
50,50,50.0
50,50,50.0
50,50,50.0
125,125,125.0
50,50,50.0
75,125,100.0
125,150,137.5
125,125,125.0
225,125,175.0
75,125,100.0
125,150,137.5
150,150,150.0
275,75,175.0
125,225,175.0
50,150,100.0
150,150,150.0
150,175,162.5
225,75,150.0
50,250,150.0
150,175,162.5
225,250,237.5
150,75,112.5
150,75,112.5
100,100,100.0
75,75,75.0
100,75,87.5
150,100,125.0
150,75,112.5
100,75,87.5
150,150,150.0
150,150,150.0
175,75,125.0
75,75,75.0
75,75,75.0
100,75,87.5
225,100,162.5
100,275,187.5
100,100,100.0
225,100,162.5
100,100,100.0
100,100,100.0
100,200,150.0
50,100,75.0
50,100,75.0
100,100,100.0
100,100,100.0
100,100,100.0
100,100,100.0
175,100,137.5
350,100,225.0
200,300,250.0
50,225,137.5
100,50,75.0
100,200,150.0
75,200,137.5
100,100,100.0
150,100,125.0
100,100,100.0
75,200,137.5
100,100,100.0
150,100,125.0
100,100,100.0
125,50,87.5
50,50,50.0
50,100,75.0
75,50,62.5
50,50,50.0
225,150,187.5
75,50,62.5
150,175,162.5
75,150,112.5
150,150,150.0
325,150,237.5
150,275,212.5
75,75,75.0
150,175,162.5
75,275,175.0
225,50,137.5
75,50,62.5
325,75,200.0
175,225,200.0
150,75,112.5
75,50,62.5
75,50,62.5
75,75,75.0
75,75,75.0
75,75,75.0
75,75,75.0
75,75,75.0
75,75,75.0
