k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,77.08299255371094,81.5413818359375,70.96233367919922,3.155158042907715,1.0,0.0
2,199,282,83,141,102.19022369384766,105.93104553222656,98.22404479980469,2.3982632160186768,1.0,0.0
3,282,399,117,200,143.7664794921875,145.5378875732422,138.7163848876953,2.375624418258667,1.0,0.0
4,399,565,166,283,200.95155334472656,204.03941345214844,196.5082244873047,2.2970635890960693,1.0,0.0
5,565,799,234,400,282.571533203125,283.8806457519531,277.99920654296875,2.1182992458343506,1.0,0.0
6,799,1131,332,566,401.05096435546875,403.647216796875,395.0679016113281,3.001504898071289,1.0,0.0
