method,faithfulness_prtb_mean,faithfulness_prtb_std,ablation_mif_mean,ablation_mif_std,ablation_lif_mean,ablation_lif_std,mif_lif_ratio_mean,mif_lif_ratio_std,pearson_mean,pearson_std,spearman_mean,spearman_std
Adaptive (Max),0.8378221259554135,1.001310770943749,0.6447535444785564,0.7359146465772817,0.2966321257712222,0.19696312912515873,1.7106548710173286,1.5079429910748527,0.23029651773693854,0.20074119994989625,0.31905576246775824,0.25410960856943277
Adaptive (Mean),0.8104364766423864,0.9757538993777596,0.6278606895188795,0.7154861864945333,0.2712061706465597,0.18821082427139899,1.9947243524754434,2.03311840802422,0.43604076248404455,0.08239667123960849,0.4754242336065907,0.11433876318295416
Adaptive (Smoothed),0.7866594641135338,0.8553504295150555,0.5972267626408356,0.6473440560923818,0.26475162120447626,0.1505838530441661,2.043549542881953,1.9249394113503122,0.2290870862922743,0.2521605710687334,0.24601946811442735,0.22247437338746595
Adaptive SHAP,0.7798146228591057,0.8440522802530301,0.5956493515992365,0.6428741740285263,0.26311738204402646,0.14784232848198856,2.054452481380272,1.9571803634755702,0.22902316391859356,0.2492476172054047,0.24506573055007408,0.22106064464483685
Rolling SHAP,0.5378612829655676,0.5067071151403784,0.3698554284212046,0.3008259587560284,0.22885244176736363,0.12815408182539967,1.493476662961703,0.6631542112845035,0.3035028356772302,0.15573242263598536,0.29358858263413234,0.13700110922460396
TimeShap,0.5379557390808886,0.44247550324622187,0.4256087882381031,0.3203915558990483,0.40402750770750906,0.37096206077708876,1.3516059790155734,0.8438740266239858,0.11141041079444491,0.09199713368807444,0.1306534579130607,0.10463311509519015
Vanilla SHAP,0.6621798831957496,0.7172150990040438,0.4939899434775811,0.5087107072987932,0.3672120395174804,0.25211169737134115,1.163967736253976,0.663567411877904,0.0965099015796153,0.042954654642365434,0.1384103699381056,0.16024610237152073
