Date,N,windows,scaled_windows,MSE,RMSE
491,-2.6640684185934136,492,1.0,0,0
492,-0.5854938882222287,35,0.07099391480730223,0,0
493,-1.0531248707195513,35,0.0708502024291498,0,0
494,-1.0178555387152954,35,0.0707070707070707,0,0
495,-1.4083888715363413,35,0.07056451612903226,0,0
496,-1.1207734770462876,497,1.0,0,0
497,-2.0815774208447464,498,1.0,0,0
498,-2.51908612125729,35,0.07014028056112225,0,0
499,-3.2113126098175533,35,0.07,0,0
500,-4.685258262285809,35,0.06986027944111776,0,0
501,-2.7077587304914847,35,0.0697211155378486,0,0
502,-3.5379096601450297,35,0.06958250497017893,0,0
503,-1.5492380095855431,35,0.06944444444444445,0,0
504,-1.6676270420688075,35,0.06930693069306931,0,0
505,-0.4966344955429493,49,0.09683794466403162,0,0
506,-1.593581585897604,507,1.0,0,0
507,0.0633905342432633,508,1.0,0,0
508,-1.9696828706735157,509,1.0,0,0
509,0.8140769164581925,510,1.0,0,0
510,-2.0512418473317124,511,1.0,0,0
511,-1.6326038272753949,512,1.0,0,0
512,-1.885851214504736,49,0.09551656920077972,0,0
513,-1.4475051737855775,514,1.0,0,0
514,-2.903167703676017,49,0.09514563106796116,0,0
515,-0.8764729036946302,399,0.7732558139534884,0,0
516,-1.449097531178035,517,1.0,0,0
517,-1.9884484402544076,518,1.0,0,0
518,-0.5768769820021634,519,1.0,0,0
519,-0.9424785414013233,49,0.09423076923076923,0,0
520,-1.4988831100960345,49,0.09404990403071017,0,0
521,-1.312081964568565,522,1.0,0,0
522,-2.464740629281831,523,1.0,0,0
523,-1.7992250922698343,524,1.0,0,0
524,-2.299384797747428,525,1.0,0,0
525,-0.5007253276766861,526,1.0,0,0
526,-2.731362583022995,527,1.0,0,0
527,-2.0556332262825223,528,1.0,0,0
528,-5.628243434451105,49,0.09262759924385633,0,0
529,-2.6031218707484394,49,0.09245283018867924,0,0
530,-6.425457840239502,35,0.06591337099811675,0,0
531,-2.277769815486472,49,0.09210526315789473,0,0
532,-5.602312138288087,49,0.09193245778611632,0,0
533,-3.757214329750897,49,0.09176029962546817,0,0
534,-4.740143498917913,49,0.09158878504672897,0,0
535,-3.6965075909041376,49,0.0914179104477612,0,0
536,-4.593855889709554,49,0.09124767225325885,0,0
537,-3.940780178296305,49,0.09107806691449814,0,0
538,-3.2504351706615404,49,0.09090909090909091,0,0
539,-3.030570281450773,70,0.12962962962962962,0,0
540,-2.8078893572696497,49,0.09057301293900184,0,0
541,-1.6371707630385572,70,0.12915129151291513,0,0
542,-2.539050171342765,70,0.1289134438305709,0,0
543,-1.3882388525201108,35,0.06433823529411764,0,0
544,-1.7800960360886302,35,0.06422018348623854,0,0
545,-1.5630150752499217,546,1.0,0,0
546,-2.8336124920333727,70,0.12797074954296161,0,0
547,0.3095914293989295,70,0.12773722627737227,0,0
548,-1.6197692756212958,70,0.12750455373406194,0,0
549,-1.0653466623552044,70,0.12727272727272726,0,0
550,-2.448560451389801,551,1.0,0,0
551,-2.065143155594136,70,0.12681159420289856,0,0
552,-3.758672102620851,49,0.08860759493670886,0,0
553,-1.5586238900557785,70,0.1263537906137184,0,0
554,-1.9169093511977804,555,1.0,0,0
555,-1.0723799803142915,556,1.0,0,0
556,-0.1923546147667758,35,0.06283662477558348,0,0
557,-1.404515190315411,70,0.12544802867383512,0,0
558,0.0650618310327225,559,1.0,0,0
559,-2.19194539578559,70,0.125,0,0
560,0.044079222023853,561,1.0,0,0
561,-0.8975788773246998,562,1.0,0,0
562,0.7223151706528004,99,0.17584369449378331,0,0
563,0.2201761168271997,564,1.0,0,0
564,0.235590214385041,565,1.0,0,0
565,1.1203842799388186,566,1.0,0,0
566,1.6756463278262408,567,1.0,0,0
567,1.591018830750946,35,0.061619718309859156,0,0
568,0.1450930586130028,569,1.0,0,0
569,1.7324552015076935,35,0.06140350877192982,0,0
570,0.4080922400754281,571,1.0,0,0
571,0.8926674531345316,49,0.08566433566433566,0,0
572,-0.6372565295307246,35,0.06108202443280977,0,0
