k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,88.14152765402336,91.65039624179931,69.97016906738281,4.1947784423828125,1.131704254122185,0.1
2,199,282,83,141,117.8834209267805,122.77925122847256,98.49057006835938,3.42815899848938,1.1179006412638108,0.1
3,282,399,117,200,162.00456860321796,165.44614258118108,140.56739807128906,3.3639471530914307,1.1020516474550097,0.1
4,399,565,166,283,221.16915042495665,225.31496963013,198.55780029296875,3.002455711364746,1.083330638355674,0.1
5,565,799,234,400,304.15473575672553,307.9655979255792,280.8946228027344,3.290315628051758,1.0588672417070677,0.1
6,799,1131,332,566,405.68182373046875,407.7928466796875,398.3692321777344,3.8925564289093018,1.0,0.1
