k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,212,299,87,149,116.42937622104151,118.67835311876111,101.93197631835938,4.897990703582764,1.0588705011257737,0.05
2,299,424,125,212,162.1547910486122,167.27675083648342,146.16775512695312,4.854248523712158,1.0510499035846597,0.05
3,424,599,175,300,231.10040838852288,236.8963699170898,212.1883087158203,6.012267112731934,1.041627730557885,0.05
4,599,848,249,424,326.88315160480454,332.94570200393895,305.8026428222656,7.001545429229736,1.0294796131960908,0.05
5,848,1199,351,600,453.0074462890625,458.1034240722656,439.124267578125,8.486540794372559,1.0,0.05
