,windows_run_0,window_mean
497,299.0,299.0
498,299.0,299.0
499,299.0,299.0
500,299.0,299.0
501,299.0,299.0
502,299.0,299.0
503,299.0,299.0
504,299.0,299.0
505,299.0,299.0
506,299.0,299.0
507,212.0,212.0
508,299.0,299.0
509,299.0,299.0
510,299.0,299.0
511,299.0,299.0
512,299.0,299.0
513,299.0,299.0
514,299.0,299.0
515,299.0,299.0
516,299.0,299.0
517,299.0,299.0
518,299.0,299.0
519,299.0,299.0
520,299.0,299.0
521,299.0,299.0
522,299.0,299.0
523,299.0,299.0
524,299.0,299.0
525,299.0,299.0
526,299.0,299.0
527,299.0,299.0
528,299.0,299.0
529,212.0,212.0
530,212.0,212.0
531,212.0,212.0
532,299.0,299.0
533,299.0,299.0
534,212.0,212.0
535,212.0,212.0
536,299.0,299.0
537,299.0,299.0
538,299.0,299.0
539,299.0,299.0
540,299.0,299.0
541,212.0,212.0
542,299.0,299.0
543,212.0,212.0
544,299.0,299.0
545,299.0,299.0
546,212.0,212.0
547,299.0,299.0
548,299.0,299.0
549,299.0,299.0
550,299.0,299.0
551,299.0,299.0
552,299.0,299.0
553,299.0,299.0
554,299.0,299.0
555,299.0,299.0
556,299.0,299.0
557,299.0,299.0
558,299.0,299.0
559,299.0,299.0
560,299.0,299.0
561,212.0,212.0
562,212.0,212.0
563,299.0,299.0
564,299.0,299.0
565,299.0,299.0
566,299.0,299.0
567,299.0,299.0
568,299.0,299.0
569,299.0,299.0
570,299.0,299.0
571,299.0,299.0
572,299.0,299.0
573,212.0,212.0
574,299.0,299.0
575,299.0,299.0
576,212.0,212.0
577,299.0,299.0
578,212.0,212.0
579,299.0,299.0
580,212.0,212.0
581,299.0,299.0
582,212.0,212.0
583,299.0,299.0
584,212.0,212.0
585,212.0,212.0
586,299.0,299.0
587,299.0,299.0
588,212.0,212.0
589,212.0,212.0
590,299.0,299.0
591,212.0,212.0
592,212.0,212.0
593,212.0,212.0
594,212.0,212.0
595,212.0,212.0
596,212.0,212.0
597,212.0,212.0
598,212.0,212.0
599,212.0,212.0
600,212.0,212.0
601,212.0,212.0
602,424.0,424.0
603,299.0,299.0
604,212.0,212.0
605,212.0,212.0
606,212.0,212.0
607,212.0,212.0
608,212.0,212.0
609,424.0,424.0
610,212.0,212.0
611,212.0,212.0
612,212.0,212.0
613,212.0,212.0
614,212.0,212.0
615,212.0,212.0
616,212.0,212.0
617,212.0,212.0
