k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,83.97575047354933,90.23978946984987,60.51007843017578,8.690625190734863,1.131704254122185,0.1
2,199,282,83,141,110.2999023668827,117.06903842913741,86.35464477539062,8.090836524963379,1.1179006412638108,0.1
3,282,399,117,200,154.22576826010382,158.85345693767079,130.31149291992188,6.529407978057861,1.1020516474550097,0.1
4,399,565,166,283,220.3197071950802,226.2463701553093,195.00497436523438,5.1782546043396,1.083330638355674,0.1
5,565,799,234,400,307.00671039718515,311.15357420114844,282.6703186035156,4.238722801208496,1.0588672417070677,0.1
6,799,1131,332,566,411.4607238769531,415.2955322265625,403.0714416503906,4.908401012420654,1.0,0.1
