k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,176,249,73,124,124.17851828684871,126.95012216651574,74.95752716064453,10.613383293151855,1.395302884539104,0.3
2,249,353,104,177,168.0825671048831,171.7773065937833,113.65377044677734,7.668603897094727,1.353605952150902,0.3
3,353,499,146,250,230.90505257844737,235.85876600058162,168.02476501464844,6.617289066314697,1.305983340975245,0.3
4,499,707,208,354,319.2487723384285,321.85774247501365,246.6394500732422,4.831116199493408,1.2499467572518859,0.3
5,707,999,292,500,422.98283371927613,424.32957758168465,351.1531677246094,4.588077068328857,1.176394926649488,0.3
6,999,1414,415,707,522.0001831054688,527.0349731445312,505.8096923828125,9.051077842712402,1.0,0.3
