k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,92.74898383501255,100.12520459827554,70.11044311523438,4.357809066772461,1.1975563811832775,0.15
2,199,282,83,141,120.3974506987583,122.8629279645346,97.45233154296875,2.7928683757781982,1.1768509618957164,0.15
3,282,399,117,200,167.48279601636742,169.87470687295584,139.96060180664062,3.029740571975708,1.1530774711825147,0.15
4,399,565,166,283,229.8738249458018,233.88143421767882,198.70452880859375,3.221729278564453,1.124995957533511,0.15
5,565,799,234,400,311.68965930565435,315.3040217833466,281.0433654785156,3.221944808959961,1.0883008625606017,0.15
6,799,1131,332,566,404.65240478515625,408.296875,398.3606262207031,3.5772390365600586,1.0,0.15
