k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,106,149,43,74,70.30675743546627,75.9809675753131,47.1048583984375,4.565972805023193,1.2884053773201767,0.2
2,149,212,63,106,94.17662212559686,98.57333309965243,67.45793151855469,4.250742435455322,1.2637373185460445,0.2
3,212,299,87,150,132.50287169051288,135.7748648760379,99.58565521240234,4.447570323944092,1.235482004503095,0.2
4,299,424,125,212,180.9880268993955,183.5770303457445,144.37106323242188,3.605654716491699,1.2041996143386384,0.2
5,424,599,175,300,247.40563541553456,250.70264496944307,207.07229614257812,3.087259531021118,1.1665109222315395,0.2
6,599,848,249,424,336.9840788385539,340.9894870401271,295.5127868652344,3.372404098510742,1.1179184527843633,0.2
7,848,1199,351,600,425.6883544921875,428.28662109375,419.2115173339844,3.6729371547698975,1.0,0.2
