k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,247,349,102,174,146.09278434934154,149.07112859655786,118.0147476196289,3.754340171813965,1.1766759318282531,0.15
2,349,494,145,247,208.78054040739923,211.6094250990752,173.16712951660156,3.9920859336853027,1.1530898566592718,0.15
3,494,699,205,350,288.06259636171325,289.9258006991202,248.48666381835938,3.8953709602355957,1.1249742906552493,0.15
4,699,989,290,495,390.39233954631436,394.7115248406917,353.1248474121094,3.9108476638793945,1.088365608475528,0.15
5,989,1399,410,700,511.3447265625,521.0435180664062,500.8182678222656,6.858577728271484,1.0,0.15
