k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,81.54008931126948,87.16466946994991,64.90779876708984,3.833998918533325,1.131704254122185,0.1
2,199,282,83,141,112.85975939636481,116.14002744777098,97.73351287841797,1.8093446493148804,1.1179006412638108,0.1
3,282,399,117,200,156.57305957042644,160.44564376835902,138.591064453125,1.8583616018295288,1.1020516474550097,0.1
4,399,565,166,283,216.07277206103078,221.05806671692213,196.34913635253906,1.9249131679534912,1.083330638355674,0.1
5,565,799,234,400,296.61928996929146,299.185123575043,277.4137878417969,1.689376950263977,1.0588672417070677,0.1
6,799,1131,332,566,395.92755126953125,399.429443359375,392.6003112792969,1.7319506406784058,1.0,0.1
