k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,199,58,99,86.2621918301927,86.94490437966229,68.90068054199219,0.4094833731651306,1.235632412097171,0.2
2,199,282,83,141,118.6225536162758,119.40576765183239,97.68817901611328,0.396835595369339,1.2043057421045185,0.2
3,282,399,117,200,162.3175138264974,163.22355115382837,138.2703094482422,0.44839826226234436,1.1667235628468067,0.2
4,399,565,166,283,220.14215682128716,221.74680205038354,195.80198669433594,0.5398818850517273,1.117960046499919,0.2
5,565,799,234,400,277.8692321777344,278.5827331542969,276.8651428222656,0.45796993374824524,1.0,0.2
