scenario_name,l2_reduction_factor,max_pairwise_l2,detection_lag_mean,detection_lag_std,detection_success_rate,window_mean,window_std,window_min,window_max,shap_corr_regime0,shap_corr_regime1,shap_corr_regime2,shap_corr_overall
baseline,0.0,1.2586500705120547,,,0.0,,,,,0.5085258913984291,0.4436569244389718,,0.546006613614897
l2_50,0.5,0.6293250352560273,,,0.0,,,,,0.41505137203120324,0.40394727251099843,,0.32483153206557275
l2_75,0.75,0.31466251762801367,,,0.0,,,,,0.1811750525998568,0.08439692332191236,,0.17022869341253974
l2_90,0.9,0.1258650070512054,,,0.0,,,,,0.3264482372761721,0.049380032460919134,,0.14328355719217423
