k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,247,349,102,174,145.39135902141845,149.65879326310304,116.647705078125,4.867093563079834,1.1766759318282531,0.15
2,349,494,145,247,207.5991581848722,209.28246598022818,172.90194702148438,3.662902355194092,1.1530898566592718,0.15
3,494,699,205,350,286.3554458157545,291.30486235321354,247.99258422851562,3.9611575603485107,1.1249742906552493,0.15
4,699,989,290,495,391.1405576878588,397.37444672466137,352.4847412109375,4.321805953979492,1.088365608475528,0.15
5,989,1399,410,700,510.89984130859375,514.7578735351562,499.6933898925781,6.269127368927002,1.0,0.15
